Accession	Female_Parent	Male_Parent	Cross_Type
BR-18-109-02	BGM-0728	BGM-1448	biparental
BR-18-109-03	BGM-0728	BGM-1448	biparental
BR-18-109-04	BGM-0728	BGM-1448	biparental
BR-18-109-05	BGM-0728	BGM-1448	biparental
BR-18-109-06	BGM-0728	BGM-1448	biparental
BR-18-109-07	BGM-0728	BGM-1448	biparental
BR-18-109-08	BGM-0728	BGM-1448	biparental
BR-18-109-09	BGM-0728	BGM-1448	biparental
BR-18-109-10	BGM-0728	BGM-1448	biparental
BR-18-109-11	BGM-0728	BGM-1448	biparental
BR-18-109-12	BGM-0728	BGM-1448	biparental
BR-18-109-13	BGM-0728	BGM-1448	biparental
BR-18-110-01	BGM-0729	BGM-0650	biparental
BR-18-110-02	BGM-0729	BGM-0650	biparental
BR-18-111-01	BGM-0729	BGM-1120	biparental
BR-18-112-01	BGM-0756	BGM-0284	biparental
BR-18-112-02	BGM-0756	BGM-0284	biparental
BR-18-112-03	BGM-0756	BGM-0284	biparental
